model,score,ci_low,ci_high,standard_error
aa-hom,-0.24868928089153117,-3.318524397250975,2.6950773948665847,1.569265695433056
aa-hom-adding,-0.16839370765209677,-3.294685846658307,2.8464673199233648,1.577506239813589
mas-het-simple,7.980202288695534,5.922821976417842,10.560454676434208,1.1871486417477206
mas-het-simple-adding,9.08973906068567,6.589578721354036,11.143209325759559,1.1548532387938801
mas-het-speakers,6.734140507140249,4.194018389237781,10.233925309033557,1.5184054025260056
mas-het-speakers-adding,9.649565487535932,6.8149783142822375,11.848433068392941,1.2779201821568442
mas-hom,4.319912916359905,0.7997037237540526,7.5144533632885775,1.7156638769860044
mas-hom-adding,5.968128453673006,2.015864717873483,9.007880851597841,1.7715774372509232
rsa-het-simple,9.09944706511973,7.131957383326366,11.292713992287888,1.0678884225886172
rsa-het-speakers,9.502805118981863,7.773053877035149,11.347719519716843,0.905307923107723
rsa-het-speakers-hi,10.268562707403586,8.800468506332498,11.55972544773408,0.7020093997816522
rsa-hom,5.304375572964156,0.8131000518811408,8.34838209605076,1.8699406583845035
