sharedParams.logitSigma,groupParams.noise.nSticks,groupParams.noise.agentBias,groupParams.J0.nSticks,groupParams.J0.agentBias,groupParams.J1.nSticks,groupParams.J1.agentBias,means.0.9,means.0.8,means.0.7,means.0.4,means.0.2
0.11492650180413057,5,0,5,0,5,8.99243629015484,"[0.3294548918927022, 0.1729884402646736, 0.49755666784262415]","[0.4405591765310723, 0.40004986654500996, 0.15939095692391786]","[0.5864074517118288, 0.23591952354756457, 0.17767302474060667]","[0.6736492908889663, 0.10788226488428476, 0.21846844422674896]","[0.6867258401899221, 0.205705835479236, 0.1075683243308418]"
0.10269292901923534,5,0,5,0,5,8.40062086085971,"[0.3252809305970242, 0.14315680057532718, 0.5315622688276487]","[0.43576001948318577, 0.3292818006214941, 0.23495817989532014]","[0.5479135667039405, 0.15394222814358274, 0.29814420515247664]","[0.5935193959927325, 0.16184050509388823, 0.24464009891337923]","[0.44343435408345216, 0.3938146311426636, 0.16275101477388432]"
0.13783088606932759,5,0,5,0,5,9.516909962405052,"[0.22785997257796006, 0.1428920415849116, 0.6292479858371283]","[0.4284312363912172, 0.38182079066960045, 0.18974797293918233]","[0.4096011344440057, 0.4180600353697624, 0.17233883018623186]","[0.6385358836191248, 0.013043157289620392, 0.3484209590912549]","[0.5597727863710716, 0.3395843742487039, 0.10064283938022452]"
0.12768008409386009,5,0,5,0,5,8.230411877958115,"[0.21638254312384878, 0.1363716645716018, 0.6472457923045495]","[0.22336873222969228, 0.31668401559876636, 0.45994725217154125]","[0.2451306524085482, 0.26764523365839493, 0.4872241139330569]","[0.6003835048736681, 0.06243477572772836, 0.3371817193986035]","[0.4361978687459343, 0.3598139125909629, 0.2039882186631028]"
0.11187921973349631,5,0,5,0,5,9.026459729637988,"[0.38218807142297373, 0.1101887834465879, 0.5076231451304384]","[0.5909916712432549, 0.24276303267076893, 0.16624529608597619]","[0.39585413307196915, 0.36797749170078087, 0.23616837522725004]","[0.4130857016630829, 0.2696414363076354, 0.3172728620292817]","[0.21135001783941515, 0.4372499030439264, 0.3514000791166585]"
0.1351122729453658,5,0,5,0,5,8.9867622050098,"[0.34384753255493106, 0.1670732460841223, 0.48907922136094667]","[0.39207339911618505, 0.2746937644720391, 0.3332328364117759]","[0.2830460240178759, 0.43787301206047713, 0.2790809639216469]","[0.6151029798389149, 0.17912952841049049, 0.2057674917505946]","[0.42624948985848465, 0.2187633866436012, 0.3549871234979141]"
0.11593913000227958,5,0,5,0,5,9.704002237204952,"[0.23389290355814793, 0.15746843206854597, 0.6086386643733062]","[0.5742703611113154, 0.23308369321733843, 0.19264594567134632]","[0.16999816162562043, 0.44652913041830117, 0.3834727079560784]","[0.566110421831602, 0.2016669842893691, 0.2322225938790289]","[0.6556046167883519, 0.15913836818312482, 0.18525701502852318]"
0.10554654792494368,5,0,5,0,5,9.687326232763299,"[0.32482555538716595, 0.18163279781690386, 0.4935416467959302]","[0.4457999650262946, 0.3184410813547323, 0.235758953618973]","[0.6355762066860818, 0.2713520792829413, 0.09307171403097683]","[0.7200911817328813, 0.05075014384578833, 0.22915867442133034]","[0.5756031320800895, 0.3645071595881853, 0.059889708331725244]"
0.11569231420932882,5,0,5,0,5,7.442454169770176,"[0.37080505444392975, 0.11030927848741522, 0.5188856670686549]","[0.33931584155027367, 0.23536864877281813, 0.42531550967690823]","[0.23965878203484406, 0.5266978919586854, 0.2336433260064703]","[0.7158330997655283, 0.14878447932010191, 0.1353824209143698]","[0.36213303399525476, 0.6136085912868405, 0.024258374717904752]"
0.13016782061143226,5,0,5,0,5,8.858085499659264,"[0.2599366751748458, 0.10825446690309345, 0.6318088579220608]","[0.42789171884666294, 0.3039181657760261, 0.26819011537731097]","[0.38501362459408367, 0.43593976343997315, 0.1790466119659431]","[0.7793157046288063, 0.04172038276734032, 0.17896391260385347]","[0.5259211490949449, 0.20568778075753066, 0.2683910701475244]"
